file,smell,model,strategy,total_evaluated,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
ollama_results_blob_qwen2_5-coder-7b_Adversarial-Refutation.json,blob,qwen2_5-coder-7b,Adversarial-Refutation,175,0.7543,0.3363,0.3783,0.353,0.7382,0.7543,0.7455
ollama_results_data_class_qwen2_5-coder-7b_Adversarial-Refutation.json,data class,qwen2_5-coder-7b,Adversarial-Refutation,175,0.6686,0.2117,0.2506,0.2292,0.5773,0.6686,0.6195
ollama_results_feature_envy_qwen2_5-coder-7b_Adversarial-Refutation.json,feature envy,qwen2_5-coder-7b,Adversarial-Refutation,175,0.7771,0.27,0.2824,0.2748,0.7022,0.7771,0.7371
ollama_results_long_method_qwen2_5-coder-7b_Adversarial-Refutation.json,long method,qwen2_5-coder-7b,Adversarial-Refutation,175,0.8171,0.2838,0.3118,0.2953,0.8029,0.8171,0.8091
