file                                                                , smell       , model           , strategy          , total_evaluated, accuracy          , macro_precision    , macro_recall       , macro_f1           , weighted_precision, weighted_recall   , weighted_f1       , precision_, recall_, f1_, support_, precision_critical, recall_critical, f1_critical, support_critical, precision_major, recall_major, f1_major, support_major, precision_minor    , recall_minor       , f1_minor           , support_minor, precision_none    , recall_none       , f1_none           , support_none
ollama_results_blob_qwen2_5-coder-7b_Casual.json                    , blob        , qwen2_5-coder-7b, Casual            ,             175, 0.5885714285714285, 0.23770114942528736, 0.2992270887007729 , 0.21494983277591975, 0.829464696223317 , 0.5885714285714285, 0.6465752508361204,        0.0,     0.0, 0.0,        0,                0.0,             0.0,         0.0,                6,             0.0,          0.0,      0.0,             7, 0.2                , 0.8947368421052632 , 0.3269230769230769 ,            19, 0.9885057471264368, 0.6013986013986014, 0.7478260869565218,          143
ollama_results_blob_qwen2_5-coder-7b_Confirmation-Bias.json         , blob        , qwen2_5-coder-7b, Confirmation-Bias ,             175, 0.6971428571428572, 0.21307019177062   , 0.2436510857563489 , 0.21975669099756692, 0.7322860866558503, 0.6971428571428572, 0.7089106708376781,        0.0,     0.0, 0.0,        0,                0.0,             0.0,         0.0,                6,             0.0,          0.0,      0.0,             7, 0.1951219512195122 , 0.42105263157894735, 0.26666666666666666,            19, 0.8702290076335878, 0.7972027972027972, 0.8321167883211679,          143
ollama_results_blob_qwen2_5-coder-7b_Contradictory-Hint.json        , blob        , qwen2_5-coder-7b, Contradictory-Hint,             175, 0.64              , 0.29056199944766636, 0.36694884063305117, 0.2812925170068027 , 0.8000244604884206, 0.64              , 0.6832342079689018,        0.0,     0.0, 0.0,        0,                0.0,             0.0,         0.0,                6,             0.0,          0.0,      0.0,             7, 0.2112676056338028 , 0.7894736842105263 , 0.3333333333333333 ,            19, 0.9509803921568627, 0.6783216783216783, 0.7918367346938775,          143
ollama_results_blob_qwen2_5-coder-7b_False-Premise.json             , blob        , qwen2_5-coder-7b, False-Premise     ,             175, 0.5771428571428572, 0.23220700152207002, 0.27817445712182554, 0.21285687628288857, 0.8031345944770603, 0.5771428571428572, 0.6386164796203982,        0.0,     0.0, 0.0,        0,                0.0,             0.0,         0.0,                6,             0.0,          0.0,      0.0,             7, 0.2054794520547945 , 0.7894736842105263 , 0.32608695652173914,            19, 0.9555555555555556, 0.6013986013986014, 0.7381974248927039,          143
ollama_results_feature_envy_qwen2_5-coder-7b_Casual.json            , feature envy, qwen2_5-coder-7b, Casual            ,             175, 0.6114285714285714, 0.23015496521189122, 0.2420774647887324 , 0.22694059091390448, 0.6786699195807355, 0.6114285714285714, 0.6383951831288482,        0.0,     0.0, 0.0,        0,                0.0,             0.0,         0.0,                2,             0.0,          0.0,      0.0,            11, 0.09803921568627451, 0.25               , 0.14084507042253522,            20, 0.8225806451612904, 0.7183098591549296, 0.7669172932330827,          142
ollama_results_feature_envy_qwen2_5-coder-7b_Confirmation-Bias.json , feature envy, qwen2_5-coder-7b, Confirmation-Bias ,             175, 0.7942857142857143, 0.20203488372093023, 0.24471830985915494, 0.2213375796178344 , 0.6557475083056479, 0.7942857142857143, 0.7183985441310282,        0.0,     0.0, 0.0,        0,                0.0,             0.0,         0.0,                2,             0.0,          0.0,      0.0,            11, 0.0                , 0.0                , 0.0                ,            20, 0.8081395348837209, 0.9788732394366197, 0.8853503184713376,          142
ollama_results_feature_envy_qwen2_5-coder-7b_Contradictory-Hint.json, feature envy, qwen2_5-coder-7b, Contradictory-Hint,             175, 0.6857142857142857, 0.25300925925925927, 0.286443661971831  , 0.26230445246690737, 0.6991957671957673, 0.6857142857142857, 0.6886986419116384,        0.0,     0.0, 0.0,        0,                0.0,             0.0,         0.0,                2,             0.0,          0.0,      0.0,            11, 0.175              , 0.35               , 0.23333333333333334,            20, 0.837037037037037 , 0.795774647887324 , 0.8158844765342961,          142
ollama_results_feature_envy_qwen2_5-coder-7b_False-Premise.json     , feature envy, qwen2_5-coder-7b, False-Premise     ,             175, 0.72              , 0.1891006711409396 , 0.20323943661971827, 0.19573883161512026, 0.6835512943432407, 0.72              , 0.7011880216003927,        0.0,     0.0, 0.0,        0,                0.0,             0.0,         0.0,                2,             0.0,          0.0,      0.0,            11, 0.12               , 0.15               , 0.13333333333333333,            20, 0.825503355704698 , 0.8661971830985915, 0.845360824742268 ,          142
ollama_results_long_method_qwen2_5-coder-7b_Casual.json             , long method , qwen2_5-coder-7b, Casual            ,             175, 0.6914285714285714, 0.28821541558815067, 0.38046357615894044, 0.2846077457795432 , 0.8418743580262131, 0.6914285714285714, 0.7368897715988084,        0.0,     0.0, 0.0,        0,                0.0,             0.0,         0.0,                2,             0.0,          0.0,      0.0,             7, 0.19672131147540983, 0.8                , 0.3157894736842105 ,            15, 0.956140350877193 , 0.7218543046357616, 0.8226415094339623,          151
ollama_results_long_method_qwen2_5-coder-7b_Confirmation-Bias.json  , long method , qwen2_5-coder-7b, Confirmation-Bias ,             175, 0.7828571428571428, 0.29768518518518516, 0.3769315673289183 , 0.3129370629370629 , 0.8331534391534392, 0.7828571428571428, 0.7974825174825176,        0.0,     0.0, 0.0,        0,                0.0,             0.0,         0.0,                2,             0.0,          0.0,      0.0,             7, 0.25               , 0.6666666666666666 , 0.36363636363636365,            15, 0.9407407407407408, 0.8410596026490066, 0.8881118881118881,          151
