file,smell,model,strategy,total_evaluated,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,precision_critical,recall_critical,f1_critical,support_critical,precision_major,recall_major,f1_major,support_major,precision_minor,recall_minor,f1_minor,support_minor
ollama_results_blob_llama3_1-8b_Casual.json,blob,llama3_1-8b,Casual,32,0.25,0.40860215053763443,0.3508771929824561,0.156140350877193,0.6431451612903226,0.25,0.1399671052631579,0.0,0.0,0.0,6,0.22580645161290322,1.0,0.3684210526315789,7,1.0,0.05263157894736842,0.1,19
ollama_results_blob_llama3_1-8b_Confirmation-Bias.json,blob,llama3_1-8b,Confirmation-Bias,32,0.375,0.2708333333333333,0.3007518796992481,0.27669172932330827,0.388671875,0.375,0.3744360902255639,0.0,0.0,0.0,6,0.25,0.42857142857142855,0.3157894736842105,7,0.5625,0.47368421052631576,0.5142857142857142,19
ollama_results_blob_llama3_1-8b_Contradictory-Hint.json,blob,llama3_1-8b,Contradictory-Hint,32,0.375,0.1818181818181818,0.21052631578947367,0.19512195121951217,0.32386363636363635,0.375,0.3475609756097561,0.0,0.0,0.0,6,0.0,0.0,0.0,7,0.5454545454545454,0.631578947368421,0.5853658536585366,19
ollama_results_blob_llama3_1-8b_EGDP.json,blob,llama3_1-8b,EGDP,32,0.1875,0.23913043478260868,0.25563909774436094,0.14285714285714285,0.344429347826087,0.1875,0.1294642857142857,0.0,0.0,0.0,6,0.21739130434782608,0.7142857142857143,0.3333333333333333,7,0.5,0.05263157894736842,0.09523809523809523,19
ollama_results_blob_llama3_1-8b_False-Premise.json,blob,llama3_1-8b,False-Premise,32,0.1875,0.32142857142857145,0.13533834586466165,0.18881118881118883,0.47879464285714285,0.1875,0.26813811188811193,0.0,0.0,0.0,6,0.25,0.14285714285714285,0.18181818181818182,7,0.7142857142857143,0.2631578947368421,0.38461538461538464,19
ollama_results_data_class_llama3_1-8b_Casual.json,data class,llama3_1-8b,Casual,45,0.4666666666666667,0.3524774774774775,0.40631808278867104,0.32573599240265905,0.4133633633633634,0.4666666666666667,0.37771446660335545,0.0,0.0,0.0,10,0.625,0.2777777777777778,0.38461538461538464,18,0.43243243243243246,0.9411764705882353,0.5925925925925926,17
ollama_results_data_class_llama3_1-8b_Confirmation-Bias.json,data class,llama3_1-8b,Confirmation-Bias,45,0.17777777777777778,0.4705882352941176,0.15577342047930284,0.1723426212590299,0.5555555555555556,0.17777777777777778,0.19766081871345031,0.0,0.0,0.0,10,1.0,0.05555555555555555,0.10526315789473684,18,0.4117647058823529,0.4117647058823529,0.4117647058823529,17
ollama_results_data_class_llama3_1-8b_Contradictory-Hint.json,data class,llama3_1-8b,Contradictory-Hint,45,0.06666666666666667,0.07142857142857142,0.05882352941176471,0.06451612903225806,0.08095238095238096,0.06666666666666667,0.07311827956989246,0.0,0.0,0.0,10,0.0,0.0,0.0,18,0.21428571428571427,0.17647058823529413,0.1935483870967742,17
ollama_results_data_class_llama3_1-8b_EGDP.json,data class,llama3_1-8b,EGDP,45,0.4888888888888889,0.41526374859708187,0.41612200435729846,0.3978835978835979,0.4821548821548821,0.4888888888888889,0.4647619047619047,0.0,0.0,0.0,10,0.5185185185185185,0.7777777777777778,0.6222222222222222,18,0.7272727272727273,0.47058823529411764,0.5714285714285714,17
ollama_results_data_class_llama3_1-8b_False-Premise.json,data class,llama3_1-8b,False-Premise,45,0.022222222222222223,0.3333333333333333,0.0196078431372549,0.037037037037037035,0.37777777777777777,0.022222222222222223,0.04197530864197531,0.0,0.0,0.0,10,0.0,0.0,0.0,18,1.0,0.058823529411764705,0.1111111111111111,17
